Sector,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
All private sector,,,,,,,,,,,,,,
"A: Agriculture, Forestry and Fishing","1,45,900","1,49,800","1,52,100","1,53,600","1,51,700","1,53,400","1,53,600","1,55,800","1,57,600","1,57,600","1,55,300","1,52,600","1,48,300","1,46,400"
"B,D,E: Mining and Quarrying; Electricity, Gas and Air Conditioning Supply; Water Supply; Sewerage, Waste Management and Remediation Activities","22,900","24,700","25,700","28,200","33,700","29,400","28,300","38,100","34,300","36,300","39,700","29,200","32,100","24,200"
C: Manufacturing,"2,30,000","2,37,600","2,31,000","2,74,300","2,61,400","2,75,600","2,65,700","2,65,800","2,90,100","2,76,200","2,88,500","2,70,000","2,44,100","2,69,400"
F: Construction,"8,99,200","8,76,200","9,07,500","8,90,900","9,50,200","9,56,100","9,74,600","10,07,500","9,91,600","10,37,300","9,92,300","9,13,800","9,14,500","8,83,100"
G: Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,"4,97,800","4,83,900","5,14,800","4,96,400","5,38,500","5,22,700","5,44,500","5,42,200","5,55,800","5,47,400","5,53,100","5,56,900","5,48,300","5,47,500"
H: Transportation and Storage,"2,75,100","2,51,000","2,69,900","2,75,300","2,85,000","2,74,800","3,13,900","3,45,300","3,25,600","3,60,500","3,46,500","3,10,600","3,38,700","3,48,100"
I: Accommodation and Food Service Activities,"1,51,000","1,47,200","1,66,600","1,69,300","1,78,700","1,83,200","1,85,500","2,02,100","1,86,000","2,01,700","2,23,000","2,00,600","2,21,000","2,25,600"
J: Information and Communication,"2,40,800","2,68,500","2,89,100","3,05,600","3,20,900","3,38,900","3,37,900","3,51,500","3,62,800","3,69,500","3,81,600","3,52,900","3,34,700","3,18,600"
K: Financial and Insurance Activities,"75,600","83,300","76,400","90,000","83,800","84,100","89,200","86,400","86,600","90,700","92,200","98,300","83,500","80,100"
L: Real Estate Activities,"78,300","87,300","91,800","88,900","99,600","1,05,000","1,05,700","1,11,900","1,16,100","1,13,200","1,27,000","1,34,100","1,29,900","1,46,100"
"M: Professional, Scientific and Technical Activities","6,02,200","6,06,100","6,65,600","6,86,900","7,79,700","7,92,900","8,23,600","8,55,600","8,16,700","8,67,900","8,73,200","8,48,800","7,62,500","7,71,300"
N: Administrative and Support Service Activities,"3,07,500","3,39,800","3,78,700","3,79,700","4,19,100","4,43,400","4,59,900","4,78,800","4,91,100","5,12,200","5,26,500","4,65,900","4,72,800","4,97,100"
P: Education,"2,24,900","2,30,800","2,43,200","2,55,900","2,58,900","2,67,600","3,12,200","2,96,300","2,83,500","3,06,900","3,25,000","2,98,300","3,08,000","3,10,100"
Q: Human Health and Social Work Activities,"2,90,900","3,09,200","3,03,500","3,33,300","3,36,500","3,71,400","3,47,700","3,62,100","3,60,100","3,60,700","3,79,900","3,39,100","3,41,000","3,42,800"
"R: Arts, Entertainment and Recreation","1,91,000","1,95,400","2,09,400","2,04,700","2,34,200","2,68,400","2,52,500","2,76,300","2,76,200","2,89,900","3,12,400","2,78,200","2,74,600","2,80,500"
S: Other Service Activities,"2,51,500","2,52,000","2,68,800","2,62,800","3,11,100","3,22,700","3,02,900","3,18,900","3,33,600","3,39,800","3,64,400","3,41,800","3,54,800","3,64,300"
All registered private sector,,,,,,,,,,,,,,
"A: Agriculture, Forestry and Fishing","1,37,000","1,39,200","1,38,800","1,43,500","1,44,900","1,46,200","1,47,000","1,47,000","1,48,400","1,48,900","1,48,100","1,40,200","1,42,100","1,40,800"
"B,D,E: Mining and Quarrying; Electricity, Gas and Air Conditioning Supply; Water Supply; Sewerage, Waste Management and Remediation Activities","7,500","7,900","9,000","10,100","10,900","11,700","12,800","13,400","14,100","14,400","14,700","15,000","15,800","15,800"
C: Manufacturing,"1,30,700","1,25,100","1,27,100","1,27,800","1,28,800","1,29,600","1,33,000","1,34,900","1,36,100","1,37,400","1,37,600","1,39,300","1,38,700","1,36,300"
